Site,Slope,Actinobacteria,Bacteriodetes,Proteobacteria
Sterling,Summit,3449746.223,30112.7857,2570287.941
Sterling,Side,7039859.413,35777.89874,5619789.763
Sterling,Toe,26379543.78,308286.5066,13140611.12
Stratton,Summit,4047137.884,123629.214,3199330.691
Stratton,Side,7669145.657,66692.43069,5001546.159
Stratton,Toe,14049112.73,278495.327,8267244.259
Walsh,Summit,1358519.406,609.6377688,786890.8924
Walsh,Side,1623895.982,270.6864273,883282.5759
Walsh,Toe,4252055.133,601.7537278,3371011.77
